number,latency,packet size,segment size,header size,trans speed
161,0.8020401000976562,4549,4400,149,45.37428988347205
162,0.8554458618164062,4549,4400,149,42.54155829654403
163,0.8106231689453125,4548,4400,148,44.88398727529412
164,0.7395744323730469,4549,4400,149,49.20667671437782
165,1.077890396118164,4548,4400,148,33.75482343198408
166,0.8385181427001953,4547,4400,147,43.38129152800683
167,0.8091926574707031,4548,4400,148,44.963334335886856
168,0.7946491241455078,4548,4400,148,45.78624564536454
169,0.8637905120849609,4548,4400,148,42.12132396798234
170,0.8845329284667969,4548,4400,148,41.133573244204854
171,0.8003711700439453,4547,4400,147,45.44891340601728
172,0.8356571197509766,4548,4400,148,43.539388512410845
173,0.8857250213623047,4548,4400,148,41.07821177281292
174,0.9732246398925781,4547,4400,147,37.376776654581086
175,0.8800029754638672,4548,4400,148,41.34531474830669
176,0.8065700531005859,4547,4400,147,45.09961640673958
177,0.8950233459472656,4549,4400,149,40.66039189344699
178,0.8115768432617188,4548,4400,148,44.83124463454759
179,0.8249282836914062,4546,4400,146,44.086256610404625
180,1.0480880737304688,4549,4400,149,34.72227278616925
181,0.8270740509033203,4549,4400,149,44.00089684865956
182,0.8301734924316406,4549,4400,149,43.836620094198736
183,0.8759498596191406,4549,4400,149,41.545756986390856
184,0.8614063262939453,4548,4400,148,42.23790665264324
185,0.8950233459472656,4549,4400,149,40.66039189344699
186,0.7936954498291016,4549,4400,149,45.851340092520275
187,0.8790493011474609,4548,4400,148,41.39016998535395
188,0.9095668792724609,4548,4400,148,40.00145654941022
189,0.8740425109863281,4548,4400,148,41.627265885433715
190,1.0104179382324219,4549,4400,149,36.016779416705994
191,0.8380413055419922,4549,4400,149,43.4250671886202
192,0.8294582366943359,4547,4400,147,43.85513144696752
193,0.9112358093261719,4548,4400,148,39.92819380847723
194,0.8730888366699219,4548,4400,148,41.67273531840524
195,0.8945465087890625,4548,4400,148,40.673122797441366
196,0.8838176727294922,4548,4400,148,41.166861811707584
197,0.9071826934814453,4548,4400,148,40.106585213140605
198,0.7867813110351562,4547,4400,147,46.233940092121216
199,0.8494853973388672,4548,4400,148,42.830636187482455
200,0.9768009185791016,4548,4400,148,37.24812222016109
201,0.8790493011474609,4548,4400,148,41.39016998535395
202,0.8320808410644531,4547,4400,147,43.716906104298
203,0.8924007415771484,4547,4400,147,40.76195626609671
204,0.7901191711425781,4549,4400,149,46.05887482438141
205,0.8800029754638672,4548,4400,148,41.34531474830669
206,0.7946491241455078,4548,4400,148,45.78624564536454
207,0.8206367492675781,4549,4400,149,44.34605205345729
208,0.7660388946533203,4547,4400,147,47.485839497043266
209,0.942230224609375,4548,4400,148,38.6147663805668
210,0.9386539459228516,4548,4400,148,38.761888934721874
211,0.7672309875488281,4547,4400,147,47.41205789434431
212,0.7486343383789062,4548,4400,148,48.600495775796176
213,0.8001327514648438,4549,4400,149,45.482452672228845
214,0.7622241973876953,4548,4400,148,47.733987092899596
215,0.911712646484375,4548,4400,148,39.907310861924685
216,0.7665157318115234,4549,4400,149,47.47717299160187
217,0.9307861328125,4549,4400,149,39.098132983606554
218,0.8280277252197266,4547,4400,147,43.93089614281601
219,0.7843971252441406,4547,4400,147,46.37446878541033
220,0.7510185241699219,4548,4400,148,48.446208487619046
221,0.8270740509033203,4548,4400,148,43.99122419602191
222,0.8363723754882812,4548,4400,148,43.5021541436716
223,0.9446144104003906,4549,4400,149,38.525772632004035
224,0.7958412170410156,4548,4400,148,45.71766229358897
225,0.9047985076904297,4546,4400,146,40.19458441949934
226,0.8702278137207031,4549,4400,149,41.818934566575344
227,0.81634521484375,4548,4400,148,44.56937988785047
228,0.827789306640625,4548,4400,148,43.95321334562212
229,0.7867813110351562,4548,4400,148,46.24410810181818
230,0.9090900421142578,4547,4400,147,40.01363815997902
231,0.8244514465332031,4548,4400,148,44.131161577790635
232,0.8602142333984375,4548,4400,148,42.29644033702883
233,0.8413791656494141,4548,4400,148,43.24328612524795
234,0.8995532989501953,4547,4400,147,40.43784847707394
235,0.8955001831054688,4549,4400,149,40.63874099254526
236,0.8661746978759766,4549,4400,149,42.014619093861825
237,0.8988380432128906,4549,4400,149,40.487827896021216
238,0.9086132049560547,4547,4400,147,40.03463718289163
239,0.80108642578125,4548,4400,148,45.418320457142855
240,0.7967948913574219,4547,4400,147,45.65290314302813
241,0.8449554443359375,4547,4400,147,43.05079071783295
242,0.9143352508544922,4549,4400,149,39.801593524902216
243,0.8637905120849609,4549,4400,149,42.130585472812584
244,0.8633136749267578,4547,4400,147,42.13532237061585
245,0.8561611175537109,4548,4400,148,42.49667411194653
246,0.8656978607177734,4549,4400,149,42.03776126907188
247,0.8494853973388672,4548,4400,148,42.830636187482455
248,0.7724761962890625,4548,4400,148,47.100480474074075
249,0.7917881011962891,4548,4400,148,45.95168826738934
250,0.8220672607421875,4548,4400,148,44.259152185614845
251,0.8764266967773438,4548,4400,148,41.51402522742111
252,0.8862018585205078,4548,4400,148,41.056108887812755
253,0.7851123809814453,4548,4400,148,46.342410184026726
254,0.8199214935302734,4548,4400,148,44.37498015004361
255,0.8058547973632812,4548,4400,148,45.149572998816566
256,0.8356571197509766,4549,4400,149,43.54896181683309
257,0.9517669677734375,4549,4400,149,38.236250292585176
258,1.3680458068847656,4550,4400,150,26.607296200766818
259,0.9889602661132812,4549,4400,149,36.798242808100284
260,0.8172988891601562,4549,4400,149,44.52716195099183
261,0.7803440093994141,4548,4400,148,46.62559020348304
262,0.7352828979492188,4548,4400,148,49.48299505058366
263,0.865936279296875,4549,4400,149,42.02618699559471
264,0.8795261383056641,4550,4400,150,41.385921821631875
265,0.8745193481445312,4550,4400,150,41.62286412213741
266,0.9925365447998047,4548,4400,148,36.65759229786212
267,0.8702278137207031,4549,4400,149,41.818934566575344
268,0.7839202880859375,4549,4400,149,46.42308733819951
269,0.8857250213623047,4548,4400,148,41.07821177281292
270,0.8273124694824219,4548,4400,148,43.97854660979827
271,1.5799999237060547,4549,4400,149,23.032912504602383
272,0.8199214935302734,4548,4400,148,44.37498015004361
273,0.8661746978759766,4549,4400,149,42.014619093861825
274,0.8347034454345703,4549,4400,149,43.598717842902026
275,0.9067058563232422,4549,4400,149,40.136500438601104
276,0.7941722869873047,4549,4400,149,45.823810017412185
277,0.7910728454589844,4550,4400,150,46.01346160337553
278,0.8223056793212891,4550,4400,150,44.265777210785735
279,0.8387565612792969,4549,4400,149,43.388036147811256
280,0.8535385131835938,4548,4400,148,42.627250484916196
281,0.8904933929443359,4549,4400,149,40.867231905756356
282,0.8091926574707031,4550,4400,150,44.98310713022982
283,0.8497238159179688,4549,4400,149,42.82803343658811
284,0.8063316345214844,4549,4400,149,45.13279454997043
285,0.9613037109375,4549,4400,149,37.85692241269841
286,0.9334087371826172,4548,4400,148,38.979707978544056
287,0.732421875,4550,4400,150,49.69813333333333
288,0.8208751678466797,4548,4400,148,44.32342629567238
289,0.8463859558105469,4548,4400,148,42.98748077070423
290,0.7834434509277344,4548,4400,148,46.44113108216676
291,0.8225440979003906,4548,4400,148,44.23349470608696
292,0.8220672607421875,4548,4400,148,44.259152185614845
293,0.7944107055664062,4549,4400,149,45.81005737334934
294,0.7696151733398438,4549,4400,149,47.285970002478315
295,0.8378028869628906,4550,4400,150,43.44697370517928
296,0.8306503295898438,4550,4400,150,43.82108656716418
297,0.9174346923828125,4549,4400,149,39.667128681912686
298,0.995635986328125,4549,4400,149,36.551511295019154
299,0.843048095703125,4550,4400,150,43.17665882352941
300,0.8285045623779297,4548,4400,148,43.91526812546763
301,0.9782314300537109,4549,4400,149,37.20183065269315
302,0.8077621459960938,4548,4400,148,45.04296243683589
303,1.0449886322021484,4548,4400,148,34.817603635865844
304,0.8451938629150391,4549,4400,149,43.05757719830747
305,0.8640289306640625,4549,4400,149,42.118960035320086
306,0.812530517578125,4548,4400,148,44.778625802816904
307,0.9479522705078125,4550,4400,150,38.39855774647887
308,0.8795261383056641,4549,4400,149,41.37682601463811
309,0.7734298706054688,4548,4400,148,47.04240343279901
310,0.8182525634765625,4549,4400,149,44.47526549184149
311,0.8637905120849609,4549,4400,149,42.130585472812584
312,0.7760524749755859,4549,4400,149,46.89373614992319
313,0.881195068359375,4548,4400,148,41.28938223376623
314,0.8168220520019531,4549,4400,149,44.55315562405138
315,0.8594989776611328,4549,4400,149,42.340946232454925
316,0.9963512420654297,4549,4400,149,36.525271875568315
317,0.8270740509033203,4550,4400,150,44.010569501297205
318,0.9241104125976562,4550,4400,150,39.38923261093912
319,0.7860660552978516,4549,4400,149,46.29636371489233
320,0.8745193481445312,4549,4400,149,41.613716239912755
321,0.8401870727539062,4550,4400,150,43.323684903518725
322,0.8857250213623047,4549,4400,149,41.087243921399725
323,0.8299350738525391,4548,4400,148,43.839573897155994
324,0.8776187896728516,4548,4400,148,41.45763562510187
325,0.7729530334472656,4550,4400,150,47.09212387415176
326,0.8556842803955078,4550,4400,150,42.53905422123154
327,0.8852481842041016,4548,4400,148,41.1003384691624
328,0.7727146148681641,4549,4400,149,47.09630088491207
329,0.8776187896728516,4549,4400,149,41.46675120021733
330,0.8137226104736328,4549,4400,149,44.7228570665104
331,0.9007453918457031,4549,4400,149,40.40209400952885
332,0.8027553558349609,4548,4400,148,45.32389567448768
333,0.8392333984375,4549,4400,149,43.363383854545454
334,0.8947849273681641,4549,4400,149,40.67122599733547
